CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008
Chi phí bán hàng###Selling Expenses	10121	43858	11277	11095	10611	10874	39562	11061	10310	8487	9705	38779	9454	11207	9183	8935	43276	11145	12317	10563	9251	47721	11203	13454	11960	11104	48031	13646	15045	10286	9053	36101	9689	8410	9200	8803	31071	7203	7613	8598	7657	24309	14876	3711	3248	3380	4538	11416	3380	4538	4600
Chi phí quản lý doanh nghiệp###Managing Expenses	2319	9391	2652	2776	1727	2236	9032	2052	2608	2074	2297	8462	2062	2275	2291	1838	8061	2631	1992	1692	1746	7406	2486	1593	1993	1335	4993	1384	1201	1144	1263	5547	1544	1259	1638	1106	5390	1388	1205	1613	1183	6383	4168	1185	970	1020	992	3541	1020	992	2077
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	1162	10015	2150	3246	2356	2263	12276	4226	1761	3166	3123	12932	3061	3393	3310	3168	13449	1747	4857	3273	3568	12978	3272	5985	2034	1664	10034	1668	4495	2312	1559	10404	2246	2558	2543	3057	9056	1920	2071	2654	2412	6366	9112	3924	1472	2233	1483	5585	2233	1483	1897
Thu nhập khác###Other incomes	547	150	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	10	5	15	0	7	0	0	0	7	7	4	0	3	0	151	143	0	0	7	12	20	-60	13	50	17	113	50	17	49
Chi phí khác###Other Expenses	509	519	57	318	139	6	830	76	0	308	446	211	8	15	187	2	118	47	6	19	46	81	24	52	0	5	15	8	0	2	5	87	75	0	2	11	146	115	8	7	17	112	81	70	7	4	0	0	4	0	0
Lợi nhuận khác###Other profits	38	-369	93	-318	-139	-6	-830	-76	0	-308	-446	-211	-8	-15	-187	-2	-118	-47	-6	-19	-46	-51	-14	-47	15	-5	-7	-8	0	-2	2	-80	-71	0	2	-11	4	28	-8	-7	-9	-101	-61	-130	6	46	17	113	46	17	49
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	1201	9645	2243	2928	2218	2257	11446	4149	1761	2858	2677	12722	3054	3378	3123	3167	13331	1700	4851	3254	3522	12927	3258	5938	2049	1660	10027	1660	4495	2310	1562	10324	2175	2558	2545	3047	9061	1948	2063	2647	2402	6265	9051	3794	1478	2280	1500	5698	2280	1500	1946
Chi phí thuế TNDN###Corporate Income Tax Expenses	62	559	127	179	130	124	656	223	118	151	164	663	158	175	168	162	686	90	246	167	182	666	141	325	116	85	511	90	226	116	80	556	115	133	0	0	362	0	0	0	135	0	48	48	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	62	559	127	179	130	124	656	223	118	151	164	663	158	175	168	162	686	90	246	167	182	666	141	325	116	85	511	90	226	116	80	556	115	133	156	158	362	96	74	57	135	0	48	48	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	1139	9086	2116	2749	2088	2133	10790	3926	1643	2707	2513	12058	2895	3203	2955	3005	12645	1610	4605	3087	3340	12261	3117	5613	1933	1575	9516	1570	4269	2194	1482	9768	2060	2425	2389	2889	8698	1852	1989	2590	2268	6265	9003	3746	1478	2280	1500	5698	2280	1500	1946
---Cac Chi So Tai Chinh---																																																			
EBITDA	0.06	0.21	0.21	0.55	0.41	0.54	0.63	0.63	0.61	0.60	0.28	-0.47	-0.47	-1.00	-0.53	-0.06	0.03	0.03	-0.25	-0.50	-0.46	-0.46	-0.46	-0.20	0.14	0.29	0.38	0.38	0.19	0.04	-0.29	-0.55	-0.55	-0.27	-0.08	0.04	0.37	0.37	0.41	0.59	1.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	17.50	18.00	18.00	19.80	19.50	19.45	17.45	17.45	18.17	16.81	19.96	22.18	22.18	21.31	21.94	20.96	21.80	21.80	23.63	23.84	17.51	18.46	18.46	13.94	11.78	13.42	11.13	11.13	13.70	11.18	15.04	10.02	10.02	12.18	7.82	5.74	8.08	8.08	8.08	8.08	6.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
